route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id,wheelchair_accessible
klaipeda_bus_M6_TOKS,160185,AM6-03-5-251229-ab-2020,Maršrutinis taksi Melnragė,0,642162,klaipeda_bus_M6_a-b,
klaipeda_bus_M6_TOKS,160185,AM6-04-5-251229-ab-2040,Maršrutinis taksi Melnragė,0,642163,klaipeda_bus_M6_a-b,
klaipeda_bus_M6_TOKS,160185,AM6-01-5-251229-ab-2100,Maršrutinis taksi Melnragė,0,642160,klaipeda_bus_M6_a-b,
klaipeda_bus_M6_TOKS,160185,AM6-02-5-251229-ab-2120,Maršrutinis taksi Melnragė,0,642161,klaipeda_bus_M6_a-b,
klaipeda_bus_M6_TOKS,160185,AM6-03-5-251229-ab-2140,Maršrutinis taksi Melnragė,0,642162,klaipeda_bus_M6_a-b,
klaipeda_bus_M6_TOKS,160185,AM6-04-5-251229-ab-2200,Maršrutinis taksi Melnragė,0,642163,klaipeda_bus_M6_a-b,
klaipeda_bus_M6_TOKS,160185,AM6-01-5-251229-ab-2220,Maršrutinis taksi Melnragė,0,642160,klaipeda_bus_M6_a-b,
klaipeda_bus_M6_TOKS,160185,AM6-02-5-251229-ab-2240,Maršrutinis taksi Melnragė,0,642161,klaipeda_bus_M6_a-b,
klaipeda_bus_M6_TOKS,160185,AM6-03-5-251229-ab-2300,Maršrutinis taksi Melnragė,0,642162,klaipeda_bus_M6_a-b,
klaipeda_bus_M6_TOKS,160185,AM6-04-5-251229-ab-2320,Maršrutinis taksi Melnragė,0,642163,klaipeda_bus_M6_a-b,
klaipeda_bus_M6_TOKS,160341,AM6-01-6-251224-ab-0830,Maršrutinis taksi Melnragė,0,642738,klaipeda_bus_M6_a-b,
klaipeda_bus_M6_TOKS,160341,AM6-02-6-251224-ab-0850,Maršrutinis taksi Melnragė,0,642739,klaipeda_bus_M6_a-b,
klaipeda_bus_M6_TOKS,160341,AM6-03-6-251224-ab-0900,Maršrutinis taksi Melnragė,0,642740,klaipeda_bus_M6_a-b,
klaipeda_bus_M6_TOKS,160341,AM6-04-6-251224-ab-0910,Maršrutinis taksi Melnragė,0,642741,klaipeda_bus_M6_a-b,
klaipeda_bus_M6_TOKS,160341,AM6-05-6-251224-ab-0930,Maršrutinis taksi Melnragė,0,642736,klaipeda_bus_M6_a-b,
klaipeda_bus_M6_TOKS,160341,AM6-06-6-251224-ab-0940,Maršrutinis taksi Melnragė,0,642737,klaipeda_bus_M6_a-b,
